Cargo Atual,Quant.
Agente Administrativo,30
Agente Comunitario de Saude,53
Agente de Combate as Endemias,61
Agente Fiscal de Obras,8
Agente Fiscal de Posturas,10
Almoxarife,1
Analista Tributario,1
Arquiteto,1
Assistente Administrativo,242
Assistente Juridico,2
Assistente Social,31
Atendente,14
Auditor Fiscal,5
Auxiliar Administrativo,2
Auxiliar de Disciplina,232
Auxiliar de Educacao Infantil,441
Auxiliar de Enfermagem,51
Auxiliar de Servicos Gerais,43
Auxiliar Oper. Serv. Saude,1
Bibliotecario,2
Biologo,2
CCE - Coordenador de Atividades Diversificadas,5
CCE - Coordenador de Turno do Polo Escola Viva,9
CCE - Diretor de Polo Programa Escola Viva,3
CCE- Coordenador de Atividade de Creche Cat-A,11
CCE- Coordenador de Atividade de Creche Cat-B,26
CCE- Coordenador de Atividade de Creche Cat-C,3
CCE- Coordenador de Turno de Creche Cat-A,5
CCE- Coordenador de Turno de Creche Cat-B,25
CCE- Coordenador de Turno de Creche Cat-C,6
CCE-1 Administrador Sub Posto de Saúde,1
CCE-1 Chefe de Servico,19
CCE-1 Chefe de Turma,5
CCE-10 Assessor Adjunto de Criação de Conteúdo (SMCS),1
CCE-10 Assessor Adjunto de Urbanismo (SMU),1
CCE-10 Assessor de Conformidade Processual (SMDS),4
CCE-10 Assessor de Contratos de Gestão em Saúde (SMS),4
CCE-10 Assessor de Contratos e Convênios (SMDS),1
CCE-10 Assessor de Controle e Avaliação (Saúde),1
CCE-10 Assessor de Estatística e Gestão de Pol. Sociais(SMDS,1
CCE-10 Assessor de Fiscalizaçao (SMU),1
CCE-10 Assessor de Jornalismo (SMCS),2
CCE-10 Assessor de Planejamento em Saúde,1
CCE-10 Assessor de Pol. Pub. e Assist. a Mulher (SMM),4
CCE-10 Assessor de Políticas e Programas Sociais (SMDS),2
CCE-10 Assessor de Procedimentos Contábeis (SMDS),2
CCE-10 Assessor de Processos Administrativos,3
CCE-10 Assessor Especial,9
CCE-10 Coordenador de Controle Interno (CGM),1
CCE-10 Coordenador de Programas de Des. Social,20
CCE-10 Coordenador do Prog.de Enfermagem para Atenção Básica,2
CCE-10 Coordenador do Prog.de Farmácia,1
CCE-10 Coordenador do Prog.de Oftalmologia,1
CCE-10 Diretor Adj de Proteção de Areas Maritimas (SMSOP),1
CCE-10 Diretor Adjunto de Eventos (SMELTur),2
CCE-10 Diretor Adjunto de Publicações (SMGab),1
CCE-10 Diretor Adjunto de Publicações Oficiais (SMCS),1
CCE-10 Diretor de Clínica Veterinária,1
CCE-10 Diretor de Clinica Veterinaria (SMDir.Animais),1
CCE-10 Diretor de Logística Ambiental (SMI),1
CCE-10 Diretor de Procedimentos Administrativos (PGM),1
CCE-10 Diretor de Recursos Humanos (SMS),1
CCE-10 Diretor Geral,2
CCE-10 Diretor Geral de Finanças (SMF),1
CCE-10 Diretor Geral de Mediçao (Sec.Mun.Obras e Infra),1
CCE-10 Diretor Geral de Prestação de Contas(Controladoria,1
CCE-10 Diretor Jurídico Adjunto de Licitações (SMGIT),1
CCE-11 Administrador Distrital (SMTSP),4
CCE-11 Assessor de Análise Ambiental (SMMA),1
CCE-11 Assessor de Comunicação em Redes Sociais (SMCS),5
CCE-11 Assessor de Contratos Administrativos (SMDE),2
CCE-11 Assessor de Controle de Acomp de Obras Publ (SMOI),7
CCE-11 Assessor de Criação de Conteúdos (SMCS),3
CCE-11 Assessor de Gabinete (SMECICT),3
CCE-11 Assessor de Incentivo a Cultura (SMECICT),1
CCE-11 Assessor de Operacoes e Coordenacao (SMGS),2
CCE-11 Assessor de Orçamento de Obras Publicas (SMOI),1
CCE-11 Assessor de Políticas de Proj e Prog Inclusão Educaci,1
CCE-11 Assessor de Projetos e Obras Publicas (SMOI),3
CCE-11 Assessor de Projetos Especiais (SMAE),1
CCE-11 Assessor de Transporte e Servicos Publicos (SMTSP),4
CCE-11 Assessor de Urbanismo (SMU),3
CCE-11 Assessor Especial Adjunto da Saude,1
CCE-11 Assessor Especial Adjunto de Agr, Abastec. e Pesca,1
CCE-11 Assessor Especial Adjunto de Desenv. Social,1
CCE-11 Assessor Especial de Gabinete (SMDir.Animais),1
CCE-11 Assessor Especial de Gabinete (SMG),1
CCE-11 Assessor Especial de Gabinete (SMGab),7
CCE-11 Assessor Especial de Infraestrutura (SMI),6
CCE-11 Coordenador de Planejamento (SMP),1
CCE-11 Coordenador de Programação Orçamentária (SMP),1
CCE-11 Coordenador de Turno,3
CCE-11 Diretor Adjunto de Integração de Reg Fiscais (SMF),1
CCE-11 Diretor da Casa de Cultura Walmir Ayala (SMECICT),1
CCE-11 Diretor de Ações p/ Envelhecimento Saudável (SMDS),1
CCE-11 Diretor de Contabilidade do Fundo Municipal de Saúde,1
CCE-11 Diretor de Contratos Administrativos (SMGIT),1
CCE-11 Diretor de Cultura  (SMEC),1
CCE-11 Diretor de Departamento Financeiro  (SMEC),1
CCE-11 Diretor de Eventos Agropecuários (SMAAPesca),1
CCE-11 Diretor de Fisc e Proteção de Área Pública (SMSOP),1
CCE-11 Diretor de Habitação (SMDes.Social),1
CCE-11 Diretor de Monitoramento e Aval.Orçamentári (SMP),1
