Tipo,Numero,Ano,Edicao,Ano_Edicao,Contratante,Contratada,CNPJ,Objeto,Valor
CONTRATO,147,2025,1784,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
ATA_REGISTRO_PRECOS,128,2025,1784,7,Município de Saquarema,"Registro de Preços",,"Registro de preços para futura e eventual contratação de empresa espe- cializada na produção, organização de eventos esportivos e prestação dos servi- ços de execução e gestão de arbitragem e cronomet",0.00
ATA_REGISTRO_PRECOS,128,2025,1784,7,Município de Saquarema,"Registro de Preços",,"Registro de preços para futura e eventual contratação de empresa especializada na produção, organização de eventos esportivos e prestação dos serviços de execução e gestão de arbitragem e cronometrage",590974.40
TERMO_ADITIVO,066 (Aditivo 2),2024,1784,7,Município de Saquarema,"FW  Empreendimentos  Imo-",35.796.804/0001-23.,"Prorrogação da vigência e Rea-",473179.12
TERMO_ADITIVO,031 (Aditivo 2),2023,1784,7,Município de Saquarema,"RC  Info  Comércio  e  Servi-",39.706.912/0001-19.,"Contratação de empresa para",284000.00
TERMO_ADITIVO,032 (Aditivo 2),2023,1784,7,Município de Saquarema,"RC  Info  Comércio  e  Servi-",39.706.912/0001-19.,"Contratação de empresa para",279345.60
TERMO_ADITIVO,028 (Aditivo 2),2023,1784,7,Município de Saquarema,"Porto    &    Porto    Loca-",08.189.056/0001-48.,"Contratação de empresa presta-",1034423.01
CONTRATO,146,2025,1785,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
CONTRATO,11,2025,1785,7,Município de Saquarema,"Não identificada",,"Não especificado",0.00
TERMO_ADITIVO,224 (Aditivo 2),2023,1786,7,Município de Saquarema,"MTR2TECH         Solu-",44.109.594/0001-49.,"Prorrogação da vigência e o",3590528.64
CONTRATO,153,2025,1787,7,Município de Saquarema.,"Casa  de  Letras  Editora  e",48.764.955/0001-,"Contratação de empresa espe- cializada em fornecimento de livros a fim de atender o Projeto Escola que lê, saco- la literária, considerando a demanda das Unidades Escolares da Rede Municipal de Ensino",6406070.66
TERMO_ADITIVO,012 (Aditivo 2),2023,1787,7,Município de Saquarema,"Prontomar   Bazar   e   Re-",,"Prorrogação da vigência e redu-",28710.84
