Tipo,Numero,Ano,Edicao,Ano_Edicao,Data_Publicacao,Assunto
EDITAL,001,2022,1785,7,,"Registre-se, publique-se e cumpra-se."
EDITAL,002,2022,1785,7,,"Registre-se, publique-se e cumpra-se."
EDITAL,002,2022,1785,7,,"EDITAL DE CONVOCAÇÃO Nº 26"
EDITAL,001,2022,1785,7,,"EDITAL DE CONVOCAÇÃO Nº 53"
PORTARIA,06,2025,1787,7,2025-11-03,"Estabelece as normas e procedimentos"
EDITAL,002,2022,1789,7,,"PARA EXAME ADMISSIONAL,"
PORTARIA,63,2025,1790,7,2025-11-04,"A PRESIDENTE DO IPRES - Instituto de"
EDITAL,002,2022,1793,7,,"Registre-se, publique-se e cumpra-se."
PORTARIA,07,2025,1796,7,2025-11-14,"Dispõe sobre as diretrizes para imple-"
EDITAL,002,2022,1797,7,,"Registre-se, publique-se e cumpra-se."
EDITAL,002,2022,1797,7,,"EDITAL DE CONVOCAÇÃO Nº 27"
EDITAL,002,2022,1797,7,,"PARA EXAME ADMISSIONAL,"
EDITAL,1,2025,1798,7,,"CONVOCAÇÃO PARA A"
PORTARIA,64,2025,1802,7,2025-11-26,"A PRESIDENTE DO IPRES - Instituto de"
EDITAL,002,2022,1807,7,,"Registre-se, publique-se e cumpra-se."
EDITAL,002,2022,1807,7,,"EDITAL DE CONVOCAÇÃO Nº 28"
PORTARIA,06,2025,1811,7,2025-01-02,", e de acordo com a"
EDITAL,002,2022,1812,8,,"A nomeada exercerá suas atribuições em"
EDITAL,002,2022,1812,8,,"APRESENTAÇÃO DE EXAMES"
EDITAL,002,2022,1812,8,,"e que tiveram solicitações"
PORTARIA,08,2025,1814,7,2025-12-11,"Estabelece o Calendário Escolar para o"
DECRETO,922,2010,1816,7,2010-05-07,", que trata dos"
DECRETO,922,2010,1816,7,2010-05-07,", passa a vigorar com as seguintes"
PORTARIA,83,2025,1816,7,2025-12-16,"O Presidente da Câmara Municipal de"
PORTARIA,84,2025,1816,7,2025-12-16,"O Presidente da Câmara Municipal de"
PORTARIA,85,2025,1816,7,2025-12-16,"Dispõe sobre o uso da vestimenta para"
DECRETO,922,2010,1820,8,2010-05-07,", que trata dos"
DECRETO,922,2010,1820,8,2010-05-07,", passa a vigorar com as seguintes"
EDITAL,03,2024,1820,8,,"Maria Nazareth"
EDITAL,03,2024,1820,8,,"Carolina Burgos"
EDITAL,03,2024,1820,8,,"Maria Angelica"
EDITAL,03,2024,1820,8,,"Maria Solange"
EDITAL,03,2024,1820,8,,"Marly Gomes Brasil"
EDITAL,03,2024,1820,8,,"Jacqueline Maria Silva"
EDITAL,03,2024,1820,8,,"Adriana Soares Leal"
EDITAL,03,2024,1820,8,,"Ana Cláudia"
EDITAL,03,2024,1820,8,,"Ana Lucia Marino"
EDITAL,03,2024,1820,8,,"10 Aprovado"
EDITAL,03,2024,1820,8,,"11 Aprovado"
EDITAL,03,2024,1820,8,,"12 Aprovado"
EDITAL,03,2024,1820,8,,"13 Aprovado"
EDITAL,03,2024,1820,8,,"14 Aprovado"
EDITAL,03,2024,1820,8,,"15 Aprovado"
EDITAL,03,2024,1820,8,,"16 Aprovado"
EDITAL,03,2024,1820,8,,"17 Aprovado"
EDITAL,03,2024,1820,8,,"18 Aprovado"
EDITAL,03,2024,1820,8,,"19 Aprovado"
EDITAL,03,2024,1820,8,,"20 Aprovado"
EDITAL,03,2024,1820,8,,"21 Aprovado"
EDITAL,03,2024,1820,8,,"22 Aprovado"
EDITAL,03,2024,1820,8,,"23 Aprovado"
EDITAL,03,2024,1820,8,,"Lilia Rute Costa"
